trade_date,month,rank,trigger_stocks,selected_concepts,cb_code,cb_name,stk_code,stk_name,matched_concepts,trigger_sources,theme_score,relation_reason,risk_notes,open,close,return_pct
2026-01-05,2026-01,7,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),113697.SH,应流转债,603308,应流股份,金属制品,002931,124.8285,命中金属制品,成交额偏低2.6万；剩余规模15.00亿,192.63,201.149,4.4225
2026-01-05,2026-01,9,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),118009.SH,华锐转债,688059,华锐精密,金属制品,002931,124.8285,命中金属制品,强赎中；成交额偏低1.8万；退市日期2026-02-03,139.3,137.929,-0.9842
2026-01-05,2026-01,10,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),123215.SZ,铭利转债,301268,铭利达,金属制品,002931,124.8285,命中金属制品,成交额偏低0.4万,131.495,133.645,1.635
2026-01-05,2026-01,11,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),123239.SZ,锋工转债,300488,恒锋工具,金属制品,002931,124.8285,命中金属制品,强赎中；成交额偏低0.4万；退市日期2026-04-09,154.59,155.76,0.7568
2026-01-05,2026-01,17,"锋龙股份(002931,封单14.83亿)、岩山科技(002195,封单10.06亿)、雷科防务(002413,封单8.08亿)、创新医疗(002173,封单7.56亿)",金属制品(0.0486)、太赫兹(0.0106),123112.SZ,万讯转债,300112,万讯自控,太赫兹,002413,118.084,命中太赫兹,成交额偏低0.3万,137.2,138.33,0.8236
2026-01-12,2026-01,21,"烽火通信(600498,封单8.64亿)、通宇通讯(002792,封单6.13亿)",中俄贸易概念(-0.0003)、央企国企改革(-0.0012),110070.SH,凌钢转债,600231,凌钢股份,央企国企改革,600498,118.6433,命中央企国企改革,公告到期赎回；成交额偏低0.3万；退市日期2026-04-13,127.01,128.795,1.4054
2026-01-12,2026-01,22,"烽火通信(600498,封单8.64亿)、通宇通讯(002792,封单6.13亿)",中俄贸易概念(-0.0003)、央企国企改革(-0.0012),110073.SH,国投转债,600061,国投资本,央企国企改革,600498,118.6433,命中央企国企改革,公告到期赎回；成交额偏低3.3万；剩余规模79.99亿；退市日期2026-07-24,114.987,116.001,0.8818
2026-01-12,2026-01,23,"烽火通信(600498,封单8.64亿)、通宇通讯(002792,封单6.13亿)",中俄贸易概念(-0.0003)、央企国企改革(-0.0012),110075.SH,南航转债,600029,南方航空,央企国企改革,600498,118.6433,命中央企国企改革,成交额偏低2.7万；剩余规模58.96亿,136.699,136.549,-0.1097
2026-01-12,2026-01,30,"烽火通信(600498,封单8.64亿)、通宇通讯(002792,封单6.13亿)",中俄贸易概念(-0.0003)、央企国企改革(-0.0012),113051.SH,节能转债,601016,节能风电,央企国企改革,600498,118.6433,命中央企国企改革,成交额偏低1.1万；剩余规模26.52亿,123.67,124.792,0.9073
2026-01-12,2026-01,31,"烽火通信(600498,封单8.64亿)、通宇通讯(002792,封单6.13亿)",中俄贸易概念(-0.0003)、央企国企改革(-0.0012),113688.SH,国检转债,603060,国检集团,央企国企改革,600498,118.6433,命中央企国企改革,成交额偏低0.4万,134.85,137.038,1.6225
2026-01-12,2026-01,32,"烽火通信(600498,封单8.64亿)、通宇通讯(002792,封单6.13亿)",中俄贸易概念(-0.0003)、央企国企改革(-0.0012),118022.SH,锂科转债,688779,五矿新能,央企国企改革,600498,118.6433,命中央企国企改革,成交额偏低1.2万；剩余规模32.50亿,123.998,124.907,0.7331
2026-01-12,2026-01,45,"烽火通信(600498,封单8.64亿)、通宇通讯(002792,封单6.13亿)",中俄贸易概念(-0.0003)、央企国企改革(-0.0012),127018.SZ,本钢转债,000761,本钢板材,央企国企改革,600498,118.6433,命中央企国企改革,公告到期赎回；成交额偏低1.3万；退市日期2026-06-29,122.6,123.174,0.4682
2026-01-12,2026-01,46,"烽火通信(600498,封单8.64亿)、通宇通讯(002792,封单6.13亿)",中俄贸易概念(-0.0003)、央企国企改革(-0.0012),127071.SZ,天箭转债,003009,中天火箭,央企国企改革,600498,118.6433,命中央企国企改革,强赎中；成交额偏低29.8万；退市日期2026-03-16,192.0,214.5,11.7188
2026-01-12,2026-01,47,"烽火通信(600498,封单8.64亿)、通宇通讯(002792,封单6.13亿)",中俄贸易概念(-0.0003)、央企国企改革(-0.0012),127108.SZ,太能转债,000591,太阳能,央企国企改革,600498,118.6433,命中央企国企改革,成交额偏低0.9万；剩余规模29.50亿,125.998,125.985,-0.0103
2026-01-12,2026-01,48,"烽火通信(600498,封单8.64亿)、通宇通讯(002792,封单6.13亿)",中俄贸易概念(-0.0003)、央企国企改革(-0.0012),127110.SZ,广核转债,003816,中国广核,央企国企改革,600498,118.6433,命中央企国企改革,成交额偏低0.7万；剩余规模48.99亿,145.754,146.501,0.5125
